---- ICPC Presentation Admin (2.3.491) ----
OS:  Windows 10 (amd64/10.0)
JRE: Oracle Corporation (11.0.11)
Folder: C:\Users\diego\Documents\GitHub\DomJudgeTools\1. presentationAdmin
Host: roca12red / 172.19.92.7
Locale/TZ: es_CO / hora estándar de Colombia
Args: https://localhost:8443 presAdmin padm1n 
Log started 2022.06.11 09:08.07

2022.06.11 09:11.04 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.08 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":52,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.12 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":56,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.16 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.20 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":50,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.24 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":53,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.27 I < {"type":"ping"}
2022.06.11 09:11.27 I > {"type":"ping"}
2022.06.11 09:11.28 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.32 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":56,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.36 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":53,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.40 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.44 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.48 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":56,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.52 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.56 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":54,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:11.57 I < {"type":"ping"}
2022.06.11 09:11.57 I > {"type":"ping"}
2022.06.11 09:12.00 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":55,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.04 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.08 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":58,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.12 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":55,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.16 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.20 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":57,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.24 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":58,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.27 I < {"type":"ping"}
2022.06.11 09:12.27 I > {"type":"ping"}
2022.06.11 09:12.28 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.32 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":54,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.36 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.40 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.44 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":57,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.48 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.52 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":56,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.56 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":58,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:12.56 I < {"type":"ping"}
2022.06.11 09:12.56 I > {"type":"ping"}
2022.06.11 09:13.00 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":57,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.04 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":56,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.09 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":58,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.13 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":57,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.17 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":55,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.21 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.25 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.27 I < {"type":"ping"}
2022.06.11 09:13.27 I > {"type":"ping"}
2022.06.11 09:13.29 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":56,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.33 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.37 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.41 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":58,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.45 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.49 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":57,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.53 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":46,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.57 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":53,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:13.57 I < {"type":"ping"}
2022.06.11 09:13.57 I > {"type":"ping"}
2022.06.11 09:14.01 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":58,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.05 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":55,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.09 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":55,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.13 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":57,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.17 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":54,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.21 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":55,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.25 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":56,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.27 I < {"type":"ping"}
2022.06.11 09:14.27 I > {"type":"ping"}
2022.06.11 09:14.29 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":53,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.33 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":47,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.37 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":53,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.41 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":45,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.45 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.49 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.53 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.57 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":58,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:14.57 I < {"type":"ping"}
2022.06.11 09:14.57 I > {"type":"ping"}
2022.06.11 09:15.01 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.05 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.09 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":57,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.13 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.17 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":57,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.21 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":56,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.25 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":58,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.27 I < {"type":"ping"}
2022.06.11 09:15.27 I > {"type":"ping"}
2022.06.11 09:15.29 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":52,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.33 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":47,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.37 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":53,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.41 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":54,"image":"/9j/4AAQSkZJRgABAgAAA...
