---- ICPC Presentation Admin (2.3.491) ----
OS:  Windows 10 (amd64/10.0)
JRE: Oracle Corporation (12.0.2)
Folder: C:\Users\diego\Documents\DomJudge\1. presentationAdmin
Host: ROCA12ULTRA / 192.168.0.3
Locale/TZ: es_CO / hora estándar de Colombia
Args: https://localhost:8443 presAdmin padm1n 
Log started 2021.12.09 10:02.57

2021.12.09 10:07.28 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.32 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.36 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.40 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.44 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.48 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.52 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.56 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.56 I < {"type":"ping"}
2021.12.09 10:07.56 I > {"type":"ping"}
2021.12.09 10:08.00 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:08.04 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:08.08 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:08.12 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:08.16 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:08.20 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:08.24 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:08.26 I < {"type":"ping"}
2021.12.09 10:08.26 I > {"type":"ping"}
2021.12.09 10:08.28 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:08.32 I < {"type":"info","source":"b833456f","presentation":"TestChartPresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQABAA...
2021.12.09 10:08.36 I < {"type":"info","source":"b833456f","presentation":"StaticLogoPresentation","fps":4,"image":"/9j/4AAQSkZJRgABAgAAAQABAA...
2021.12.09 10:08.40 I < {"type":"info","source":"b833456f","presentation":"ScoreboardPresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQABA...
2021.12.09 10:08.44 I < {"type":"info","source":"b833456f","presentation":"ScoreboardPresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQABA...
2021.12.09 10:08.48 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:08.52 I < {"type":"info","source":"b833456f","presentation":"BalloonMapPresentation","fps":54,"image":"/9j/4AAQSkZJRgABAgAAAQABA...
2021.12.09 10:08.56 I < {"type":"info","source":"b833456f","presentation":"TeamIntroPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAA...
2021.12.09 10:08.56 I < {"type":"ping"}
2021.12.09 10:08.56 I > {"type":"ping"}
2021.12.09 10:09.00 I < {"type":"info","source":"b833456f","presentation":"GroupPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:09.04 I < {"type":"info","source":"b833456f","presentation":"GroupPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:09.08 I < {"type":"info","source":"b833456f","presentation":"ICPCToolsPresentation","fps":32,"image":"/9j/4AAQSkZJRgABAgAAAQABAA...
2021.12.09 10:09.12 I < {"type":"info","source":"b833456f","presentation":"ICPCToolsPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAA...
2021.12.09 10:09.13 I < {"type":"info","source":"b833456f","presentation":"BillPresentation","fps":0,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2wBD...
2021.12.09 10:09.16 I < {"type":"info","source":"b833456f","presentation":"DoNotTouchPresentation","fps":12,"image":"/9j/4AAQSkZJRgABAgAAAQABA...
2021.12.09 10:09.20 I < {"type":"info","source":"b833456f","presentation":"DoNotTouchPresentation","fps":10,"image":"/9j/4AAQSkZJRgABAgAAAQABA...
2021.12.09 10:09.24 I < {"type":"info","source":"b833456f","presentation":"DoNotTouchPresentation","fps":10,"image":"/9j/4AAQSkZJRgABAgAAAQABA...
2021.12.09 10:09.26 I < {"type":"ping"}
2021.12.09 10:09.26 I > {"type":"ping"}
2021.12.09 10:09.28 I < {"type":"info","source":"b833456f","presentation":"DoNotTouchPresentation","fps":10,"image":"/9j/4AAQSkZJRgABAgAAAQABA...
2021.12.09 10:09.32 I < {"type":"info","source":"b833456f","presentation":"FireworksPresentation","fps":55,"image":"/9j/4AAQSkZJRgABAgAAAQABAA...
2021.12.09 10:09.36 I < {"type":"info","source":"b833456f","presentation":"TotalProblemsChart","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2...
2021.12.09 10:09.40 I < {"type":"info","source":"b833456f","presentation":"ProblemComparisonChart","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABA...
2021.12.09 10:09.44 I < {"type":"info","source":"b833456f","presentation":"LanguageSummaryChart","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD...
2021.12.09 10:09.48 I < {"type":"info","source":"b833456f","presentation":"HistoricalComparisonChart","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:09.55 I < {"type":"info","source":"b833456f","presentation":"JudgeQueueDepthChart","fps":2,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/...
2021.12.09 10:09.56 I < {"type":"ping"}
2021.12.09 10:09.56 I > {"type":"ping"}
2021.12.09 10:09.56 I < {"type":"info","source":"b833456f","presentation":"BetterFireworksPresentation","fps":44,"image":"/9j/4AAQSkZJRgABAgAA...
2021.12.09 10:10.01 I < {"type":"info","source":"b833456f","presentation":"BetterFireworksPresentation","fps":31,"image":"/9j/4AAQSkZJRgABAgAA...
2021.12.09 10:10.05 I < {"type":"info","source":"b833456f","presentation":"BetterFireworksPresentation","fps":30,"image":"/9j/4AAQSkZJRgABAgAA...
2021.12.09 10:10.09 I < {"type":"info","source":"b833456f","presentation":"BetterFireworksPresentation","fps":38,"image":"/9j/4AAQSkZJRgABAgAA...
2021.12.09 10:10.13 I < {"type":"info","source":"b833456f","presentation":"BetterFireworksPresentation","fps":41,"image":"/9j/4AAQSkZJRgABAgAA...
2021.12.09 10:10.17 I < {"type":"info","source":"b833456f","presentation":"BetterFireworksPresentation","fps":29,"image":"/9j/4AAQSkZJRgABAgAA...
2021.12.09 10:10.21 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:10.25 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:10.26 I < {"type":"ping"}
2021.12.09 10:10.26 I > {"type":"ping"}
2021.12.09 10:10.29 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:10.33 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:10.37 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:10.41 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:10.45 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:10.49 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:10.53 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:10.56 I < {"type":"ping"}
2021.12.09 10:10.56 I > {"type":"ping"}
2021.12.09 10:10.56 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.01 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.05 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.09 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.13 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.17 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.21 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.25 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.26 I < {"type":"ping"}
2021.12.09 10:11.26 I > {"type":"ping"}
2021.12.09 10:11.29 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.33 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.37 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.41 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.45 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.49 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.53 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:11.56 I < {"type":"ping"}
2021.12.09 10:11.56 I > {"type":"ping"}
2021.12.09 10:11.57 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.01 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.05 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.09 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.13 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.17 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.21 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.25 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.26 I < {"type":"ping"}
2021.12.09 10:12.26 I > {"type":"ping"}
2021.12.09 10:12.29 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.33 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.37 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.41 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.45 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.49 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.53 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:12.56 I < {"type":"ping"}
2021.12.09 10:12.56 I > {"type":"ping"}
2021.12.09 10:12.57 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:13.01 I < {"type":"info","source":"b833456f","presentation":"JudgePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2w...
2021.12.09 10:13.03 presAdmin disconnected
2021.12.09 10:13.03 E Unexpected websocket disconnect: Closed abnormally. (CLOSED_ABNORMALLY)
2021.12.09 10:13.03 presAdmin connecting...
